SecurityIssuerId,SecurityIssuerCode,SecurityIssuerDesc,IssuerCountryId,DomicileCountryId,OverrideRiskCountryId,RiskCountryId,CountryId,OverrideRiskCurrencyId,RiskCurrencyId,OverrideGICsSubIndustryId,GICSSubIndustryId,BbergCompanyId,ActiveYN,PrimarySecurityId,OverrideNotes,LastModifiedBy,LastModifiedOn,RiskApprovedBy,RiskApprovedOn,OpsApprovedOn,OpsApprovedBy,RestrictedYN,RestrictionChangedBy,RestrictionChangedOn,RestrictionChangeNotes,CompanyDescFull
251,AUD FX,AUD FX,199,199,NULL,199,NULL,NULL,3,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-03-18 10:09:10.500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
252,BRL FX,BRL FX,199,199,NULL,199,NULL,NULL,35,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-03-18 10:10:15.840,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
253,CAD FX,CAD FX,199,199,NULL,199,NULL,NULL,5,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-03-18 10:10:20.653,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
254,CHF FX,CHF FX,199,199,NULL,199,NULL,NULL,6,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-03-18 10:10:22.077,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
255,DKK FX,DKK FX,199,199,NULL,199,NULL,NULL,9,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-03-18 10:10:23.133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
256,EUR FX,EUR FX,199,199,NULL,199,NULL,NULL,11,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-03-18 10:10:24.800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
257,GBP FX,GBP FX,199,199,NULL,199,NULL,NULL,14,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-03-18 10:10:26.063,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
258,HKD FX,HKD FX,199,199,NULL,199,NULL,NULL,16,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-03-18 10:10:27.040,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
259,JPY FX,JPY FX,199,199,NULL,199,NULL,NULL,19,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-03-18 10:10:28.040,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
260,KRW FX,KRW FX,199,199,NULL,199,NULL,NULL,20,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-03-18 10:10:29.297,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
