BrokerId,BrokerGroupId,BrokerTypeId,BrokerCounterpartyTypeId,BrokerCode,BrokerDesc,IsSwap,IsProgram,IsTechShort,IsTechLong,ActiveYN,CrossTradeCommApplyYN,InternalCreditCommApplyYN,EzeBrokerCode
2,1,1,NULL,AWAY,AWAY,NULL,NULL,NULL,NULL,1,0,0,AWAY
3,1,1,NULL,CSFB,CSFB,NULL,NULL,NULL,NULL,1,0,0,CSFB
4,1,1,NULL,GSCO,GSCO,NULL,NULL,NULL,NULL,1,0,0,GSCO
5,1,1,NULL,GSSW,GSSW,NULL,NULL,NULL,NULL,1,0,0,GSSWP
6,1,1,NULL,JPME,JPME,NULL,NULL,NULL,NULL,1,0,0,JPM
7,1,1,NULL,JPSW,JPSW,NULL,NULL,NULL,NULL,1,0,0,JPSWP
8,1,1,NULL,MSCO,MSCO,NULL,NULL,NULL,NULL,1,0,0,MSCO
9,1,1,NULL,MSSW,MSSW,NULL,NULL,NULL,NULL,1,0,0,MSSWP
10,1,1,NULL,NORN,NORN,NULL,NULL,NULL,NULL,1,0,0,NORN
11,2,2,NULL,CSFBA,CSFBA,0,0,0,0,1,0,1,NULL
12,2,2,NULL,LQNT,LQNT,0,0,0,0,1,0,1,NULL
13,2,2,NULL,MLCO,MLCO,0,0,0,0,1,0,1,NULL
14,2,2,NULL,MSCOA,MSCOA,0,0,0,0,1,0,1,NULL
15,2,2,NULL,STERN,STERN,0,0,0,0,1,0,1,NULL
16,2,2,NULL,CITIM,CITIM,0,0,0,0,1,0,1,NULL
17,2,2,NULL,GOLDA,GOLDA,0,0,0,0,1,0,1,NULL
18,2,2,NULL,GOLD,GOLD,0,0,0,0,1,0,1,NULL
19,2,2,NULL,BARC,BARC,0,0,0,0,1,0,1,NULL
20,2,2,NULL,BERN,BERN,0,0,0,0,1,0,1,NULL
21,2,2,NULL,CHVI,CHVI,0,0,0,0,1,0,1,NULL
22,2,2,NULL,ITGC,ITGC,0,0,0,0,1,0,1,NULL
23,2,2,NULL,MSCO,MSCO,0,0,0,0,1,0,1,NULL
24,2,2,NULL,JPHQ,JPHQ,0,0,0,0,1,0,1,NULL
25,2,2,NULL,SBSH,SBSH,0,0,0,0,1,0,1,NULL
26,2,2,NULL,DBAB,DBAB,0,0,0,0,1,0,1,NULL
27,2,2,NULL,UBSW,UBSW,0,0,0,0,1,0,1,NULL
28,2,2,NULL,MSINT,MSINT,0,0,0,0,1,0,1,NULL
29,2,2,NULL,NMRA,NMRA,0,0,0,0,1,0,1,NULL
30,2,2,NULL,GSINT,GSINT,0,0,0,0,1,0,1,NULL
31,2,2,NULL,CSFB,CSFB,0,0,0,0,1,0,1,NULL
32,2,2,NULL,CITI,CITI,0,0,0,0,1,0,1,NULL
33,2,2,NULL,JEFF,JEFF,0,0,0,0,1,0,1,NULL
34,2,2,NULL,RAJA,RAJA,0,0,0,0,1,0,1,NULL
35,2,2,NULL,SNCM,SNCM,0,0,0,0,1,0,1,NULL
36,2,2,NULL,WCHV,WCHV,0,0,0,0,1,0,1,NULL
37,2,2,NULL,FBRC,FBRC,0,0,0,0,1,0,1,NULL
38,2,2,NULL,RBCC,RBCC,0,0,0,0,1,0,1,NULL
39,2,2,NULL,GUGS,GUGS,0,0,0,0,1,0,1,NULL
40,2,2,NULL,SIMM,SIMM,0,0,0,0,1,0,1,NULL
41,2,2,NULL,MACQ,MACQ,0,0,0,0,1,0,1,NULL
42,2,2,NULL,CANT,CANT,0,0,0,0,1,0,1,NULL
43,2,2,NULL,JPHQA,JPHQA,0,0,0,0,1,0,1,NULL
44,2,2,NULL,STEV,STEV,0,0,0,0,1,0,1,NULL
45,2,2,NULL,PIPR,PIPR,0,0,0,0,1,0,1,NULL
46,2,2,NULL,OPCO,OPCO,0,0,0,0,1,0,1,NULL
47,2,2,NULL,WJBC,WJBC,0,0,0,0,1,0,1,NULL
48,2,2,NULL,CSTI,CSTI,0,0,0,0,1,0,1,NULL
