ScheduleId,ApplicationId,PersonId,WorkDate,StartTime,EndTime,TotalHoursWorked,NextWorkDate,NextWorkTime,ScheduleStateId,CreatedDate,ModifiedDate,CreatedByAuditId,ModifiedByAuditId,PlannedHours
1058,200,102,6/14/2016,1/1/1900 7:18,1/1/1900 5:18,8,6/15/2016,1/3/1900 7:18,35100,12/26/2016 1:10,12/26/2016 1:10,-1,-1,8
1059,200,102,6/13/2016,1/1/1900 7:18,1/1/1900 11:18,4,6/14/2016,1/3/1900 7:18,35100,12/26/2016 1:10,12/26/2016 1:10,-1,-1,8
1060,200,102,6/12/2016,1/1/1900 7:18,1/1/1900 5:00,8,6/13/2016,1/3/1900 7:18,35100,12/26/2016 1:10,12/26/2016 1:10,-1,-1,8
1061,200,400,1/9/2016,1/10/2016 9:30,1/10/2016 18:00,6,1/10/2016,1/10/2016 9:30,35100,1/10/2016 6:25,1/10/2016 6:25,-1,-1,8
1062,200,400,12/20/2016,12/30/2016 9:30,12/30/2016 17:00,7,12/30/2016,12/30/2016 9:30,35100,12/30/2016 3:29,12/30/2016 3:29,-1,-1,8
1063,200,400,12/19/2016,12/30/2016 9:30,12/30/2016 19:00,8,12/20/2016,12/30/2016 9:30,35100,12/30/2016 3:27,12/30/2016 3:27,-1,-1,8
1064,200,400,12/19/2016,12/30/2016 9:30,12/30/2016 19:00,8,12/20/2016,12/30/2016 9:30,35100,12/30/2016 3:20,12/30/2016 3:20,-1,-1,8
1065,200,400,12/18/2016,12/30/2016 9:30,12/30/2016 20:00,8,12/19/2016,12/30/2016 9:30,35100,12/30/2016 3:18,12/30/2016 3:18,-1,-1,8
1066,200,400,12/17/2016,12/30/2016 9:30,12/30/2016 18:30,7,12/18/2016,12/30/2016 9:30,35100,12/30/2016 3:07,12/30/2016 3:07,-1,-1,8
1067,200,400,12/16/2016,12/30/2016 9:30,12/30/2016 19:00,6,12/17/2016,12/30/2016 9:30,35100,12/30/2016 3:04,12/30/2016 3:04,-1,-1,8
1068,200,400,12/13/2016,12/30/2016 10:00,12/30/2016 19:00,4,12/16/2016,12/30/2016 9:30,35100,12/30/2016 3:03,12/30/2016 3:03,-1,-1,8
1069,200,400,12/12/2016,12/30/2016 9:30,12/30/2016 19:00,6,12/13/2016,12/30/2016 9:30,35100,12/30/2016 3:02,12/30/2016 3:02,-1,-1,8
1070,200,400,12/11/2016,12/30/2016 9:30,12/30/2016 19:00,5,12/12/2016,12/30/2016 9:30,35100,12/30/2016 2:56,12/30/2016 2:56,-1,-1,8
1071,200,400,12/10/2016,12/30/2016 9:30,12/30/2016 19:00,8,12/11/2016,12/30/2016 9:30,35100,12/30/2016 1:38,12/30/2016 1:38,-1,-1,8
1072,200,400,12/9/2016,12/30/2016 9:30,12/30/2016 14:30,4,12/10/2016,12/30/2016 9:30,35100,12/30/2016 1:37,12/30/2016 1:37,-1,-1,8
1073,200,400,12/6/2016,12/30/2016 9:30,12/30/2016 19:00,8,12/9/2016,12/30/2016 9:30,35100,12/30/2016 1:37,12/30/2016 1:37,-1,-1,8
1074,200,400,12/5/2016,12/30/2016 9:30,12/30/2016 19:00,8,12/6/2016,12/30/2016 9:30,35100,12/30/2016 1:36,12/30/2016 1:36,-1,-1,8
1075,200,400,12/4/2016,12/30/2016 9:30,12/30/2016 18:00,7,12/5/2016,12/30/2016 9:30,35100,12/30/2016 1:34,12/30/2016 1:34,-1,-1,8
1076,200,400,12/3/2016,12/30/2016 9:30,12/30/2016 18:30,7,12/4/2016,12/30/2016 9:30,35100,12/30/2016 1:33,12/30/2016 1:33,-1,-1,8
1077,200,400,12/2/2016,12/30/2016 9:30,12/30/2016 17:30,7,12/3/2016,12/30/2016 9:30,35100,12/30/2016 1:32,12/30/2016 1:32,-1,-1,8
1078,200,104,7/7/2016,1/1/1900 10:00,1/1/1900 5:00,7.5,7/9/2016,1/3/1900 7:18,35100,12/26/2016 1:10,12/26/2016 1:10,-1,-1,8
1079,200,104,7/6/2016,1/1/1900 8:00,1/1/1900 11:00,3,7/7/2016,1/3/1900 10:00,35100,12/26/2016 1:10,12/26/2016 1:10,-1,-1,8
